10 13
2 34 2543
2 35 29354
2 36 15358
2 38 25141
2 39 5684
2 40 15388
2 41 28647
2 42 12178
2 43 29390
2 44 3615
2 45 30535
2 46 17340
2 47 15536
2 49 105
2 51 9048
2 53 18872
2 54 17716
2 57 27611
2 58 1500
2 59 12428
2 60 7835
2 61 15649
2 62 19170
2 63 28936
2 64 28270
2 66 23715
2 67 32029
2 68 5851
2 69 5399
2 70 27469
2 71 30585
2 72 27473
2 73 8497
2 74 14497
2 75 9497
2 76 29966
2 77 15066
2 78 31771
2 79 19347
2 81 14714
2 82 18762
2 83 14102
2 84 21193
2 85 16173
2 86 27662
3 4 27799
3 5 6716
3 6 21425
3 8 23767
3 9 8493
3 11 23982
3 12 24585
3 13 1510
3 14 20271
3 15 19050
3 17 12087
3 18 29289
3 19 23995
3 20 23797
3 21 2316
3 22 17913
3 23 1046
3 24 1929
3 25 28171
3 28 20053
3 29 14202
3 31 5099
3 32 11319
3 33 10437
3 34 6051
3 36 5083
3 37 24929
3 38 4678
3 39 15079
3 40 31815
3 41 2407
3 42 10800
3 43 20463
3 44 31587
3 45 17973
3 46 27582
3 47 1159
3 48 26388
3 49 2769
3 50 16103
3 51 7909
3 52 24208
3 53 10019
3 54 32588
3 56 16784
3 57 13463
3 59 9790
3 60 1859
3 61 22385
3 63 27258
3 64 10504
3 66 11422
3 67 1859
3 68 3010
3 69 9421
3 70 25297
3 71 6543
3 72 18972
3 73 14692
3 74 6134
3 76 4737
3 78 12594
3 80 32198
3 82 25126
3 83 2275
3 84 28441
3 85 18062
3 86 23166
4 5 9892
4 6 7323
4 7 19573
4 8 9719
4 9 9386
4 10 21568
4 12 22648
4 13 7975
4 14 6512
4 15 6462
4 16 15578
4 17 8019
4 19 5426
4 20 25354
4 21 22816
4 22 23279
4 24 29577
4 25 32035
4 26 26534
4 27 574
4 28 4572
4 29 10636
4 30 17035
4 31 24210
4 32 16279
4 33 26730
4 34 26481
4 35 4631
4 36 26220
4 37 11678
4 39 29135
4 41 16459
4 42 29578
4 43 21361
4 45 29359
4 46 1822
4 47 24856
4 48 6674
4 50 18877
4 51 7396
4 52 23542
4 53 22816
4 54 22030
4 55 14329
4 56 24323
4 57 11655
4 58 28296
4 59 8190
4 60 19252
4 61 8497
4 62 28359
4 63 18117
4 65 10657
4 66 5309
4 67 12247
4 68 16185
4 70 20272
4 71 7399
4 72 31210
4 73 4526
4 74 29873
4 75 32392
4 76 20407
4 77 23464
4 78 15212
4 80 24218
4 81 18948
4 82 1254
4 83 6632
4 84 22860
4 86 8534
5 6 27431
5 7 3373
5 8 18643
5 9 24919
5 10 23271
5 11 31946
5 12 6685
5 13 17566
5 14 6596
5 15 4804
5 16 11506
5 17 12133
5 18 10274
5 19 24877
5 20 31380
5 21 17472
5 22 1452
5 23 26601
5 24 16277
5 25 25275
5 26 5806
5 27 18642
5 28 26625
5 29 23883
5 30 20006
5 31 2534
5 32 27452
5 34 8953
5 35 25834
5 36 13802
5 37 23511
5 38 6202
5 39 26257
5 40 26821
5 41 4550
5 42 4599
5 43 22501
5 44 17695
5 45 16213
5 46 18213
5 47 27387
5 48 19567
5 49 1676
5 51 25985
5 53 11035
5 54 31450
5 55 21421
5 56 12887
5 58 4963
5 59 14078
5 60 2596
5 61 19135
5 62 22589
5 63 7841
5 64 30078
5 66 11152
5 68 21758
5 69 24328
5 70 7401
5 71 1227
5 72 8708
5 73 397
5 74 7491
5 75 8541
5 76 19532
5 77 19031
5 78 19822
5 79 28043
5 80 16748
5 81 18724
5 82 3232
5 83 32084
5 84 18725
5 85 4444
5 86 7644
6 8 14421
6 10 20404
6 11 12604
6 13 32720
6 15 13277
6 16 24707
6 17 24251
6 18 7314
6 19 27198
6 20 10990
6 21 23849
6 23 1504
6 24 1573
6 25 1635
6 26 11375
6 27 25915
6 28 2373
6 29 32594
6 30 16307
6 32 21190
6 33 2996
6 34 18680
6 36 1946
6 37 2735
6 38 22204
6 39 2107
6 40 23554
6 41 3725
6 42 2016
6 43 32145
6 44 6006
6 45 696
6 46 7761
6 47 27764
6 48 28091
6 49 22533
6 50 5078
6 53 21661
6 54 27626
6 55 8872
6 56 3107
6 57 1492
6 58 13776
6 59 8647
6 60 24485
6 61 30876
6 63 18001
6 64 21704
6 65 24567
6 66 26018
6 67 9733
6 68 28199
6 70 9719
6 71 17547
6 72 26358
6 73 16129
6 74 32527
6 75 10125
6 76 20357
6 77 16236
6 78 2571
6 79 392
6 80 1522
6 81 21479
6 82 7616
6 83 207
6 84 2789
7 8 10794
7 9 15901
7 10 16839
7 11 25334
7 12 27459
7 13 31498
7 15 4537
7 16 1949
7 17 11371
7 18 24729
7 19 3076
7 20 31601
7 21 24034
7 22 14017
7 23 21867
7 25 28512
7 27 2049
7 28 20992
7 29 3664
7 30 21943
7 31 26903
7 32 26587
7 34 23870
7 35 7494
7 36 27677
7 37 11156
7 38 32305
7 39 8685
7 41 30467
7 42 5887
7 43 26299
7 44 564
7 45 22112
7 46 27510
7 47 19265
7 48 4065
7 49 10773
7 50 2119
7 51 21158
7 52 14388
7 53 25424
7 54 29389
7 55 22638
7 56 14491
7 57 24958
7 60 24589
7 61 16332
7 62 3593
7 63 7982
7 64 28667
7 65 5511
7 66 10940
7 67 4111
7 68 8162
7 70 12507
7 71 29838
7 72 21986
7 73 31082
7 74 24631
7 76 23547
7 77 29091
7 78 4929
7 79 26864
7 80 7687
7 81 17136
7 82 5456
7 83 14469
7 84 28253
7 85 883
8 9 7379
8 11 4448
8 12 12948
8 14 21432
8 15 30778
8 16 4326
8 18 25279
8 19 28715
8 20 20851
8 21 13744
8 22 265
8 23 27665
8 24 9105
8 26 8210
8 27 16685
8 29 31310
8 31 22180
8 32 28414
8 33 25479
8 34 325
8 35 17074
8 36 32576
8 38 13595
8 39 21156
8 40 3653
8 41 18476
8 42 12855
8 43 3017
8 44 13996
8 45 390
8 46 1842
8 47 14718
8 48 16622
8 49 8875
8 50 26264
8 51 14836
8 52 11962
8 53 13699
8 56 14663
8 58 27888
8 59 7427
8 60 31221
8 61 27381
8 62 9829
8 63 27645
8 64 24475
8 65 16252
8 66 16801
8 68 24223
8 69 11371
8 70 4099
8 71 20587
8 72 11992
8 73 18971
8 74 21958
8 75 4792
8 77 25861
8 78 32524
8 80 12477
8 81 2364
8 82 11404
8 84 9971
8 85 5781
8 86 23038
9 10 18841
9 12 16082
9 13 17059
9 14 22061
9 15 6432
9 16 17055
9 17 25920
9 20 16759
9 21 20195
9 24 6530
9 27 28788
9 28 25792
9 29 27579
9 30 7603
9 31 22151
9 32 18467
9 34 18955
9 35 30830
9 36 13748
9 37 15405
9 38 3709
9 39 29373
9 40 4308
9 41 16680
9 42 17505
9 43 18490
9 44 11927
9 45 1212
9 46 26633
9 47 6688
9 48 18164
9 49 28562
9 50 25871
9 51 24307
9 52 9735
9 53 28693
9 55 28169
9 57 28193
9 58 10763
9 59 4775
9 60 23578
9 61 10293
9 62 17403
9 63 27714
9 64 32335
9 65 14362
9 66 20501
9 67 25848
9 68 26489
9 69 15597
9 70 20540
9 71 283
9 72 15061
9 73 23397
9 74 31467
9 75 32551
9 76 24442
9 77 14702
9 78 15471
9 79 32216
9 80 7076
9 81 6910
9 82 20520
9 84 24615
9 85 30657
9 86 13235
10 12 19513
10 13 11925
10 14 1984
10 17 8718
10 18 6304
10 19 5065
10 20 14841
10 21 21592
10 22 12273
10 23 31991
10 24 4726
10 25 19007
10 26 15102
10 27 10858
10 28 15599
10 30 24734
10 31 26807
10 32 31092
10 33 30850
10 35 9262
10 36 8341
10 37 660
10 38 14548
10 39 18670
10 40 23320
10 41 16511
10 42 6162
10 43 18921
10 44 29594
10 45 22151
10 47 22389
10 48 10134
10 49 5216
10 50 12306
10 51 10575
10 52 1595
10 53 4325
10 54 23370
10 55 5063
10 57 15884
10 58 5073
10 59 26295
10 60 7080
10 61 23388
10 62 10363
10 63 13375
10 64 1096
10 65 14757
10 66 19787
10 67 3764
10 68 15225
10 69 21757
10 71 8989
10 72 10610
10 74 972
10 75 4313
10 76 32394
10 77 13060
10 78 1810
10 79 22179
10 80 8698
10 81 13803
10 82 22321
10 83 10563
10 84 4240
10 85 20287
10 86 26464
11 12 330
11 13 32002
11 15 13644
11 16 21931
11 17 9403
11 18 27856
11 19 7947
11 20 24913
11 21 21869
11 22 19462
11 23 31139
11 24 862
11 25 4141
11 26 27857
11 27 14874
11 28 2388
11 29 28535
11 30 9891
11 31 14435
11 32 10814
11 33 27278
11 35 15300
11 36 5574
11 37 26433
11 38 12486
11 39 27969
11 40 13821
11 41 14076
11 42 28128
11 44 29997
11 45 9595
11 46 21364
11 47 20670
11 48 5541
11 49 10814
11 50 20692
11 51 28333
11 52 26128
11 53 14924
11 54 29371
11 55 18534
11 56 21602
11 57 18741
11 59 24130
11 62 13862
11 64 6621
11 65 8846
11 66 7563
11 67 1143
11 68 3476
11 70 8660
11 71 23929
11 74 14843
11 75 28185
11 76 14970
11 78 9194
11 79 6328
11 81 10236
11 82 22316
11 83 25749
11 85 4948
11 86 5958
12 13 11065
12 14 20817
12 15 10854
12 16 18197
12 17 22782
12 18 25049
12 19 18832
12 20 20219
12 21 8116
12 22 14781
12 24 13601
12 25 21435
12 26 11345
12 27 27370
12 28 23855
12 29 30098
12 30 14218
12 31 26785
12 33 11435
12 34 31402
12 35 5224
12 36 5737
12 38 18134
12 39 11077
12 40 22630
12 41 26220
12 42 4923
12 43 24971
12 44 31947
12 45 19808
12 46 15906
12 47 398
12 48 887
12 49 31185
12 51 25276
12 52 28006
12 53 23110
12 54 20564
12 55 31063
12 56 5382
12 57 19762
12 58 22689
12 59 8852
12 60 2058
12 63 10594
12 64 26464
12 65 9244
12 67 16606
12 68 11935
12 69 4813
12 70 5026
12 71 6403
12 72 12053
12 74 6519
12 75 17503
12 76 4249
12 77 23173
12 79 23786
12 81 3725
12 82 8992
12 84 16827
12 85 14522
12 86 6738
13 14 99
13 15 21771
13 16 7280
13 17 14476
13 18 22418
13 19 7325
13 21 7884
13 22 30846
13 23 7313
13 24 11455
13 26 17281
13 27 29790
13 28 11503
13 29 22269
13 30 13595
13 31 32557
13 33 5649
13 34 9740
13 36 11632
13 37 14319
13 38 9715
13 39 19800
13 40 4508
13 41 23152
13 42 24527
13 43 18505
13 44 15732
13 45 31964
13 46 21861
13 47 2781
13 48 8123
13 50 1403
13 51 2708
13 52 1492
13 53 6987
13 54 28914
13 55 17356
13 56 1689
13 57 32671
13 58 29719
13 59 3390
13 61 12514
13 62 31238
13 63 24415
13 64 14017
13 65 18785
13 66 17933
13 67 8373
13 68 27770
13 69 26257
13 70 15001
13 71 29944
13 72 30661
13 73 17969
13 74 32593
13 75 14866
13 76 4661
13 77 29152
13 78 21285
13 79 25166
13 80 4817
13 81 21607
13 82 14289
13 83 25466
13 84 24248
13 86 15832
14 18 28776
14 19 31485
14 20 30479
14 21 13092
14 22 25941
14 23 10636
14 24 22765
14 25 20196
14 26 20176
14 27 26435
14 28 3035
14 29 21869
14 30 23225
14 32 5838
14 33 12430
14 34 451
14 35 12350
14 37 9711
14 38 5624
14 39 13872
14 40 17738
14 41 21180
14 42 4984
14 43 1083
14 44 25095
14 45 11606
14 46 9158
14 47 14948
14 48 11767
14 49 30833
14 50 3394
14 51 23308
14 52 18245
14 53 24740
14 54 9460
14 55 19486
14 56 11582
14 58 27852
14 59 13354
14 60 7171
14 61 22707
14 62 16602
14 63 18544
14 64 11796
14 65 5140
14 66 4450
14 67 17074
14 68 12789
14 70 8988
14 71 15821
14 72 6333
14 73 7345
14 74 810
14 75 29765
14 76 25917
14 77 25065
14 78 20320
14 79 32605
14 80 10858
14 81 175
14 82 32082
14 83 22135
14 84 29189
14 85 18225
14 86 669
15 16 9120
15 17 4488
15 18 21038
15 19 3229
15 20 23580
15 21 5263
15 22 9457
15 23 28
15 24 2167
15 25 1572
15 26 29775
15 27 4607
15 28 31619
15 29 26374
15 30 19078
15 31 20433
15 33 15617
15 34 30792
15 35 3264
15 36 27310
15 37 21202
15 38 20616
15 40 3541
15 41 8016
15 42 2128
15 43 14282
15 44 17986
15 45 32204
15 46 3600
15 47 3782
15 48 30535
15 49 13030
15 50 25726
15 51 19632
15 52 28169
15 53 14815
15 54 4397
15 55 24718
15 56 7184
15 59 2319
15 60 22372
15 61 17881
15 64 11694
15 65 13595
15 66 859
15 67 22741
15 68 29866
15 69 14690
15 70 1564
15 71 10268
15 72 1845
15 74 24099
15 75 30448
15 76 20982
15 77 20305
15 78 2978
15 79 25839
15 80 9332
15 81 32361
15 82 10548
15 83 13594
15 85 16285
16 17 32056
16 19 8733
16 20 29139
16 22 16054
16 23 19497
16 24 15507
16 25 4513
16 26 19230
16 28 20065
16 29 24658
16 30 19286
16 31 8816
16 32 14198
16 33 20574
16 34 9707
16 35 12689
16 36 15502
16 37 3541
16 38 11545
16 39 30947
16 40 7005
16 41 9859
16 42 2691
16 43 13074
16 44 6645
16 45 31250
16 46 26006
16 47 12470
16 48 8963
16 50 9212
16 51 31907
16 52 10379
16 53 19776
16 54 17478
16 55 24005
16 56 26195
16 57 22790
16 58 18203
16 59 20907
16 60 20309
16 62 25673
16 63 8873
16 64 13697
16 65 8196
16 66 2899
16 67 19131
16 68 24275
16 69 15314
16 70 2757
16 71 5297
16 72 32623
16 73 3790
16 74 8414
16 75 23868
16 77 16342
16 78 18295
16 79 9062
16 80 12436
16 81 29783
16 84 14189
16 85 21971
16 86 30325
17 18 25174
17 19 25840
17 20 3306
17 22 19473
17 23 30098
17 24 29428
17 25 18755
17 26 3249
17 27 5491
17 28 18303
17 29 24420
17 32 14694
17 33 19735
17 34 18868
17 35 2153
17 36 23469
17 37 21172
17 38 7310
17 39 24957
17 40 3601
17 41 3200
17 42 1920
17 43 24749
17 44 19519
17 45 26978
17 46 3317
17 47 18337
17 48 22735
17 49 2692
17 50 22006
17 51 28314
17 53 13659
17 54 23936
17 56 8838
17 57 27154
17 58 23977
17 59 8155
17 60 20536
17 61 18345
17 62 1141
17 63 15885
17 66 22831
17 67 27847
17 68 15460
17 70 11030
17 71 22740
17 72 32105
17 73 3024
17 74 9584
17 75 2324
17 76 19898
17 77 23473
17 78 799
17 79 2006
17 80 13767
17 81 30669
17 82 10062
17 83 8720
17 84 27366
17 85 12107
17 86 6259
18 19 20022
18 23 31678
18 24 12533
18 25 22475
18 26 12225
18 27 29195
18 28 23800
18 29 15381
18 30 3048
18 31 7401
18 33 13757
18 34 28196
18 35 27835
18 36 13177
18 37 19848
18 38 25113
18 39 18777
18 40 18861
18 41 8731
18 42 6427
18 43 29432
18 44 32544
18 45 5530
18 46 6309
18 47 24835
18 48 29243
18 49 31786
18 51 1982
18 52 19717
18 53 4984
18 54 12821
18 55 2844
18 57 9665
18 58 25467
18 59 10023
18 60 30647
18 61 18399
18 62 30822
18 63 7392
18 64 28026
18 65 31501
18 67 21027
18 68 29029
18 69 13338
18 70 15414
18 71 15079
18 72 3576
18 73 11520
18 74 9169
18 76 28281
18 78 1096
18 79 23270
18 80 31954
18 81 15745
18 82 16714
18 83 24527
18 84 23934
18 86 2037
19 20 20749
19 21 31379
19 22 26374
19 23 28153
19 24 17478
19 25 18740
19 26 8482
19 27 4170
19 28 24248
19 29 16269
19 30 25162
19 31 6837
19 32 12048
19 33 16971
19 34 21202
19 35 13403
19 36 18616
19 37 23322
19 38 3014
19 40 15457
19 41 27241
19 42 21496
19 43 20452
19 44 10481
19 45 10613
19 46 24710
19 47 2069
19 49 1265
19 50 26174
19 51 3334
19 52 30679
19 53 6165
19 54 25749
19 55 21262
19 56 12055
19 57 30373
19 58 31294
19 59 16936
19 60 9763
19 61 396
19 62 20012
19 63 31880
19 64 14505
19 65 31117
19 66 17658
19 67 29526
19 68 32141
19 70 14529
19 72 23147
19 73 486
19 74 10861
19 75 21006
19 76 19466
19 77 16350
19 78 18384
19 79 11094
19 80 797
19 81 16812
19 82 1634
19 83 21064
19 84 32688
19 85 7475
19 86 29256
20 21 14663
20 22 20819
20 23 8236
20 25 19045
20 26 25896
20 27 10687
20 28 14054
20 29 25547
20 30 19657
20 31 32332
20 32 5031
20 33 2333
20 35 4665
20 36 31747
20 37 8435
20 39 18940
20 40 13165
20 41 21263
20 43 4095
20 44 12526
20 45 20351
20 46 29945
20 47 27258
20 48 32650
20 49 17076
20 50 26626
20 51 18364
20 52 4466
20 53 1423
20 55 21141
20 56 1018
20 58 15532
20 59 29438
20 60 26428
20 61 6473
20 62 22221
20 65 19445
20 66 19844
20 67 28018
20 68 7353
20 69 7673
20 70 30717
20 71 998
20 72 15325
20 73 12776
20 74 10141
20 76 28206
20 77 18450
20 78 5237
20 79 31486
20 80 29051
20 82 8486
20 83 24934
20 84 3485
20 85 2028
20 86 22551
21 22 29273
21 23 30256
21 24 21632
21 26 24604
21 27 6149
21 29 17432
21 30 3023
21 31 2991
21 32 16061
21 33 21885
21 34 18405
21 35 25087
21 36 9557
21 37 7475
21 39 26442
21 40 25708
21 41 17216
21 42 7141
21 44 5676
21 45 28128
21 46 6832
21 48 23529
21 49 922
21 51 4833
21 52 3562
21 53 7371
21 55 30442
21 56 26924
21 57 14173
21 58 14620
21 59 14376
21 60 3325
21 61 3771
21 62 17665
21 63 29311
21 64 12851
21 65 734
21 66 13869
21 67 22220
21 68 9120
21 69 7046
21 70 25356
21 71 30085
21 73 8838
21 74 25109
21 75 32287
21 78 28077
21 79 7476
21 80 29460
21 81 13509
21 82 15646
21 83 6934
21 84 29903
21 85 15743
21 86 5742
22 24 19962
22 25 2118
22 26 24119
22 27 12096
22 28 1562
22 29 12119
22 30 18222
22 31 26961
22 32 17751
22 33 4327
22 34 11738
22 35 31581
22 37 9260
22 38 11858
22 39 23932
22 40 10186
22 41 12239
22 42 15480
22 43 27197
22 44 27023
22 45 2438
22 46 32271
22 47 14488
22 48 136
22 49 11924
22 50 23476
22 51 29014
22 52 4038
22 53 1416
22 54 3582
22 55 7458
22 56 3964
22 57 19114
22 58 30939
22 59 6567
22 60 28318
22 62 22172
22 64 20857
22 65 28880
22 67 4031
22 68 1998
22 69 30916
22 70 1025
22 71 29097
22 72 13836
22 73 28894
22 75 15333
22 76 28570
22 78 3892
22 79 25952
22 80 8003
22 81 8628
22 82 12455
22 83 4195
22 84 4729
22 85 15495
22 86 218
23 24 30894
23 25 6449
23 26 14394
23 27 18686
23 29 19930
23 30 28706
23 32 27889
23 33 1215
23 34 5264
23 35 10666
23 36 1160
23 37 7251
23 38 10117
23 39 20158
23 40 12662
23 41 23877
23 42 25828
23 44 19019
23 45 32660
23 46 11187
23 47 2069
23 48 19676
23 49 16957
23 51 17824
23 52 13047
23 53 12415
23 54 4959
23 56 14203
23 57 8194
23 58 9981
23 59 18131
23 60 32071
23 61 7677
23 62 17673
23 63 10253
23 65 20733
23 67 6350
23 68 15299
23 69 32118
23 70 20309
23 71 24357
23 72 22302
23 73 10082
23 74 10048
23 75 8396
23 76 7145
23 77 5373
23 78 4807
23 79 18811
23 80 26188
23 82 10907
23 83 14727
23 84 24437
23 85 25080
23 86 28467
24 25 11700
24 26 17372
24 27 4164
24 28 22449
24 29 14790
24 30 25773
24 31 8673
24 32 10713
24 33 22043
24 34 8506
24 35 9135
24 36 3412
24 37 26832
24 38 8241
24 39 31609
24 40 12233
24 41 5821
24 42 13652
24 43 7799
24 44 18536
24 45 20057
24 46 1084
24 47 25721
24 48 15089
24 49 8603
24 50 32688
24 51 15196
24 52 10299
24 53 6668
24 54 7803
24 55 20782
24 57 8126
24 58 30835
24 59 6797
24 60 11173
24 61 3979
24 62 13385
24 63 32619
24 64 3724
24 65 13191
24 66 4397
24 68 31397
24 69 15783
24 71 27364
24 72 18322
24 74 22018
24 76 716
24 77 29354
24 79 9439
24 80 11514
24 81 20757
24 82 29892
24 83 11048
24 84 16082
24 85 22532
24 86 20532
25 27 6461
25 28 4072
25 29 14174
25 30 6990
25 31 9856
25 32 6285
25 33 3250
25 35 22014
25 36 26956
25 37 12134
25 38 14828
25 39 5434
25 40 19022
25 41 4393
25 42 13193
25 43 15015
25 44 30876
25 45 14705
25 46 19792
25 47 3507
25 48 31234
25 49 18139
25 50 16753
25 51 32440
25 52 26811
25 53 16684
25 54 20533
25 56 18884
25 57 24672
25 58 9157
25 59 32082
25 60 14364
25 61 31738
25 62 4097
25 63 17864
25 64 12816
25 66 1908
25 67 19226
25 68 28863
25 69 5959
25 70 22934
25 71 7235
25 72 17504
25 74 5308
25 76 26773
25 77 9383
25 78 10801
25 79 21985
25 80 3788
25 83 25912
25 84 9002
25 86 25190
26 27 31333
26 28 14468
26 29 11669
26 30 17486
26 31 19315
26 32 25213
26 33 26237
26 34 17111
26 35 16177
26 36 14515
26 37 2517
26 38 27995
26 40 30905
26 41 29578
26 42 10959
26 44 6085
26 47 22717
26 48 9713
26 49 24871
26 50 9606
26 51 12247
26 52 6367
26 53 3281
26 54 31634
26 56 29572
26 57 2945
26 58 29770
26 61 12791
26 62 28432
26 63 25704
26 64 32342
26 65 31658
26 67 18715
26 68 6444
26 69 11660
26 70 9027
26 71 23035
26 72 9962
26 73 29461
26 74 26256
26 75 27256
26 76 2128
26 78 19002
26 79 8409
26 80 1199
26 81 7952
26 82 22180
26 83 13450
26 84 5107
26 85 19239
26 86 2526
27 29 21798
27 30 4467
27 32 22866
27 33 19694
27 34 20358
27 35 3331
27 37 7695
27 38 19488
27 40 5392
27 41 17636
27 42 9203
27 43 12410
27 44 21072
27 45 22196
27 46 29878
27 47 8137
27 48 28261
27 49 14285
27 50 9996
27 51 27868
27 52 19390
27 53 24915
27 54 3248
27 55 4897
27 56 4333
27 58 29093
27 59 11287
27 60 650
27 61 16817
27 62 18328
27 63 15030
27 64 23120
27 66 18054
27 67 27803
27 68 23191
27 69 6386
27 70 25782
27 71 20346
27 72 20361
27 73 7506
27 74 15707
27 75 29926
27 76 13449
27 77 18748
27 79 28083
27 80 17274
27 81 24026
27 82 30420
27 83 21380
27 84 30827
27 85 27262
27 86 1570
28 29 9173
28 30 7742
28 31 12340
28 32 26909
28 33 11818
28 34 26207
28 35 21094
28 37 22598
28 38 5290
28 39 278
28 40 18895
28 41 19835
28 42 22894
28 43 20579
28 44 17812
28 45 8906
28 47 7560
28 48 14842
28 49 8151
28 50 25500
28 51 308
28 52 4852
28 53 8120
28 54 24693
